City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
284,Nakanojo,JP,68.0,36.58,138.85,light rain,山木屋旅館
285,Zhanakorgan,KZ,78.73,43.91,67.25,overcast clouds,"""Ақпалас"" қонақ үйі"
286,The Pas,CA,69.8,53.83,-101.25,few clouds,Wescana Inn
287,Pangnirtung,CA,50.05,66.15,-65.71,clear sky,Kilabuk Lodge
288,Masvingo,ZW,56.14,-20.06,30.83,scattered clouds,River Side Lodge
289,Sorland,NO,51.57,67.67,12.69,scattered clouds,Sjybrygga fiskecamp
290,Heiligenhafen,DE,54.0,54.37,10.98,overcast clouds,Aparthotel Ostseeresidenz Heiligenhafen
291,Beringovskiy,RU,60.21,63.05,179.32,overcast clouds,Beringgorski
292,Necochea,AR,48.0,-38.55,-58.74,light rain,dyd -mar Hotel
293,Sena Madureira,BR,72.75,-9.07,-68.66,light rain,Hotel Suzani
296,Cherskiy,RU,58.5,68.75,161.3,overcast clouds,Gostinitsa
297,Belomorsk,RU,50.59,64.52,34.77,scattered clouds,Chaika
298,Ossora,RU,53.78,59.24,163.07,overcast clouds,
299,Huarmey,PE,62.11,-10.07,-78.15,few clouds,Hotel Miramar
300,Trairi,BR,77.81,-3.28,-39.27,scattered clouds,Pousada Field Lilies - Trairi
301,Rocha,UY,41.04,-34.48,-54.33,few clouds,Beleza Pura B&B
304,Sungaipenuh,ID,65.48,-2.08,101.38,overcast clouds,Hotel Jaya Wisata 2
305,Hobyo,SO,77.61,5.35,48.53,broken clouds,Osmani Hotel
306,Port Hedland,AU,60.8,-20.32,118.57,clear sky,The Esplanade Hotel
308,Kuito,AO,57.4,-12.38,16.93,clear sky,Herdeiros de Antunes Capusso
309,Labrea,BR,78.64,-7.26,-64.8,scattered clouds,Hotel Novo Horizonte
310,Constitucion,CL,50.68,-35.33,-72.42,overcast clouds,Hotel Boutique Las Azucenas
312,Abu Samrah,SY,68.58,35.3,37.18,clear sky,
313,Areosa,PT,70.0,41.72,-8.86,clear sky,Hotel Flôr de Sal
314,Yumen,CN,71.35,40.28,97.2,few clouds,
315,Amapa,BR,73.09,1.0,-52.0,light rain,
316,Aasiaat,GL,40.71,68.71,-52.87,moderate rain,Hotel Aasiaat Sømandshjem
317,Iwanai,JP,75.85,42.97,140.51,clear sky,いわない高原ホテル
319,Kaeo,NZ,57.99,-35.1,173.78,scattered clouds,Bushido Lodge
320,Canico,PT,75.2,32.63,-16.85,few clouds,Quinta Splendida Wellness & Botanical Garden
321,Harper,LR,76.24,4.38,-7.72,overcast clouds,Screensaver
322,Nanortalik,GL,44.67,60.14,-45.24,overcast clouds,"NTS Rooms, Nanortalik"
323,Palaia Fokaia,GR,73.99,37.72,23.95,clear sky,Plaza Resort Hotel
324,Myaundzha,RU,61.93,63.05,147.19,scattered clouds,
325,Mitsamiouli,KM,76.59,-11.38,43.28,clear sky,Foyer ADM
326,Halifax,CA,73.0,44.65,-63.57,scattered clouds,Hotel Halifax
327,Kalmunai,LK,79.02,7.42,81.82,overcast clouds,VS Villa
328,Yuanping,CN,67.17,38.72,112.76,overcast clouds,Yuanping Xinghe Guesthouse
330,Kodiak,US,69.8,57.79,-152.41,clear sky,Best Western Kodiak Inn and Convention Center
331,Moba,CN,61.88,33.23,105.02,broken clouds,
332,Osoyoos,CA,75.2,49.03,-119.45,broken clouds,Watermark Beach Resort Hotel
333,Leningradskiy,RU,52.03,69.38,178.42,overcast clouds,
334,Lerwick,GB,48.2,60.15,-1.15,broken clouds,The Lerwick Hotel
335,Oga,IT,59.0,46.46,10.35,light intensity drizzle,Hotel San Lorenzo
336,Los Llanos De Aridane,ES,71.6,28.66,-17.92,scattered clouds,Valle Aridane
337,Klaksvik,FO,48.2,62.23,-6.59,overcast clouds,Airbnb rooms
339,Torbay,CA,55.0,47.67,-52.73,overcast clouds,Gallows Cove
340,Macae,BR,71.6,-22.37,-41.79,broken clouds,Personal Hotel
341,Koslan,RU,63.28,63.46,48.9,broken clouds,
342,Padang,ID,77.23,-0.95,100.35,overcast clouds,Mercure Padang
343,Waingapu,ID,77.77,-9.66,120.26,broken clouds,Pondok Wisata Elim
344,Mehamn,NO,46.04,71.04,27.85,overcast clouds,Mehamn Arctic Hotel AS
345,Yenagoa,NG,74.97,4.92,6.26,overcast clouds,Amba Hotels Limited
346,Giaginskaya,RU,64.36,44.86,40.07,few clouds,Postoyaly Dvor Farm Stay
348,Flin Flon,CA,68.0,54.77,-101.86,broken clouds,Victoria Inn Flin Flon
349,Maceio,BR,73.4,-9.67,-35.74,broken clouds,Mercure Maceio Pajucara Hotel
350,Luganville,VU,78.8,-15.53,167.17,shower rain,The Espiritu Hotel
351,Galesong,ID,77.0,-5.32,119.37,few clouds,Sapriadi Appy
355,Wanaka,NZ,40.77,-44.7,169.15,scattered clouds,Wanaka Homestead Lodge and Cottages
357,Deputatskiy,RU,57.83,69.3,139.9,scattered clouds,Baza Otdykha
358,Damietta,EG,77.0,31.42,31.81,scattered clouds,السيد السيد بدر للكراسي
359,Ballina,AU,60.8,-28.87,153.57,overcast clouds,Ramada Hotel & Suites by Wyndham Ballina Byron
360,Strezhevoy,RU,57.2,60.73,77.59,broken clouds,Sibiryachka
361,Timizart,DZ,79.45,36.8,4.27,clear sky,yefssah restaurant
362,Xichang,CN,68.49,27.9,102.26,moderate rain,Xichang ibis Hotel
363,Lalin,ES,61.0,42.72,-8.12,broken clouds,A Palleira De ROQUE
364,Mnogovershinnyy,RU,57.42,53.94,139.92,overcast clouds,Kvartsevaya Sopka
365,Shiyan,CN,79.99,32.65,110.78,overcast clouds,Karen International Hotel
366,Boende,CD,74.3,-0.22,20.87,overcast clouds,
367,Sistranda,NO,50.0,63.73,8.83,broken clouds,Hotell Frøya
369,Namanyere,TZ,60.55,-7.52,31.05,clear sky,Manyovu Lodge
371,Jumla,NP,63.25,29.27,82.18,overcast clouds,Hotel Sundar Rara Karnali
374,Horta,PT,68.0,38.53,-28.63,broken clouds,Hotel do Canal | Horta - Faial
376,Adre,TD,75.54,13.47,22.2,overcast clouds,
377,Nogliki,RU,51.42,51.83,143.17,overcast clouds,"Hotel ""Nogliki"""
382,Kantabanji,IN,78.78,20.48,82.92,overcast clouds,Kamdhenu Borewell And Trading
383,Salinopolis,BR,79.52,-0.61,-47.36,light rain,Hotel Salinópolis
384,Kirgiz-Miyaki,RU,68.02,53.63,54.8,clear sky,Миякинский Дворик
387,Codrington,AU,50.5,-38.27,141.97,overcast clouds,Codrington Gardens Bed And Breakfast
388,Dax,FR,69.01,43.75,-1.17,clear sky,Marrocq
389,Kibala,TD,69.31,9.11,18.35,overcast clouds,
390,Buin,CL,51.8,-33.73,-70.75,scattered clouds,Paihuen
