City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
153,Kupang,ID,2020-07-10 00:09:54,-10.17,123.58,78.8,69,20,14.99,few clouds,0.0,0
154,Buala,SB,2020-07-10 00:09:55,-8.14,159.59,84.04,75,53,12.1,light rain,0.52,0
155,Grao Mogol,BR,2020-07-10 00:09:55,-16.56,-42.89,60.98,62,1,2.3,clear sky,0.0,0
156,Walvis Bay,NA,2020-07-10 00:06:43,-22.96,14.51,51.01,81,0,4.7,clear sky,0.0,0
157,Tocopilla,CL,2020-07-10 00:09:55,-22.09,-70.2,58.64,66,21,2.57,few clouds,0.0,0
158,Namatanai,PG,2020-07-10 00:09:55,-3.67,152.43,84.43,70,41,8.25,moderate rain,1.21,0
159,Kearney,US,2020-07-10 00:09:27,40.7,-99.08,82.4,58,1,8.05,clear sky,0.0,0
160,Souillac,MU,2020-07-10 00:09:55,-20.52,57.52,68.0,88,75,18.34,shower rain,0.0,0
161,Vila Velha,BR,2020-07-10 00:09:55,-20.33,-40.29,73.4,88,0,12.75,clear sky,0.0,0
162,Vikulovo,RU,2020-07-10 00:09:56,56.82,70.61,65.64,93,2,10.78,clear sky,0.0,0
163,Petropavlovsk-Kamchatskiy,RU,2020-07-10 00:09:56,53.05,158.65,59.0,100,90,4.47,light intensity shower rain,0.0,0
164,Dingle,PH,2020-07-10 00:09:56,11.0,122.67,82.76,77,97,1.01,overcast clouds,0.0,0
165,Crossfield,CA,2020-07-10 00:09:56,51.43,-114.04,72.0,62,97,5.99,light rain,0.44,0
166,Isangel,VU,2020-07-10 00:09:56,-19.55,169.27,77.0,69,90,5.82,overcast clouds,0.0,0
167,Narsaq,GL,2020-07-10 00:09:56,60.92,-46.05,50.0,81,99,1.12,overcast clouds,0.0,0
168,Stephenville Crossing,CA,2020-07-10 00:08:53,48.5,-58.43,59.0,77,75,10.29,broken clouds,0.0,0
169,Pingzhuang,CN,2020-07-10 00:09:57,42.04,119.29,70.92,61,100,7.45,overcast clouds,0.0,0
170,Ballyshannon,IE,2020-07-10 00:09:57,54.5,-8.18,46.0,92,37,7.27,scattered clouds,0.0,0
171,Chicama,PE,2020-07-10 00:09:57,-7.84,-79.15,63.34,77,31,6.82,scattered clouds,0.0,0
172,Zeya,RU,2020-07-10 00:09:57,53.75,127.27,73.65,55,100,8.21,overcast clouds,0.0,0
173,Marawi,PH,2020-07-10 00:09:57,8.0,124.29,81.0,80,35,1.16,scattered clouds,0.0,0
174,Iralaya,HN,2020-07-10 00:09:57,15.0,-83.23,78.8,88,90,4.14,overcast clouds,0.0,0
175,Cayenne,GF,2020-07-10 00:09:58,4.93,-52.33,77.0,100,100,2.24,moderate rain,1.89,0
176,Ambilobe,MG,2020-07-10 00:09:58,-13.2,49.05,66.52,65,0,7.34,clear sky,0.0,0
177,Biloela,AU,2020-07-10 00:09:58,-24.42,150.5,68.23,57,0,11.97,clear sky,0.0,0
178,Sur,OM,2020-07-10 00:09:58,22.57,59.53,91.42,48,100,8.37,overcast clouds,0.0,0
179,Ouricuri,BR,2020-07-10 00:09:58,-7.88,-40.08,70.47,68,4,1.39,clear sky,0.0,0
180,Conselheiro Pena,BR,2020-07-10 00:09:58,-19.17,-41.47,71.04,61,0,1.72,clear sky,0.0,0
181,Port Macquarie,AU,2020-07-10 00:09:13,-31.43,152.92,57.99,97,82,7.09,broken clouds,0.0,0
182,Awbari,LY,2020-07-10 00:09:59,26.59,12.78,79.84,22,0,7.94,clear sky,0.0,0
183,Puerto Escondido,MX,2020-07-10 00:09:59,15.85,-97.07,86.0,66,40,5.82,scattered clouds,0.0,0
184,Bengkulu,ID,2020-07-10 00:09:59,-3.8,102.27,75.72,87,100,7.05,overcast clouds,0.0,0
185,Turukhansk,RU,2020-07-10 00:09:59,65.82,87.98,56.41,81,27,6.15,scattered clouds,0.0,0
186,Ostersund,SE,2020-07-10 00:09:59,63.18,14.64,46.4,87,7,14.99,clear sky,0.0,0
187,Hasaki,JP,2020-07-10 00:09:59,35.73,140.83,80.01,83,75,5.82,broken clouds,0.0,0
188,Acapulco,MX,2020-07-10 00:06:54,16.86,-99.89,84.2,79,75,8.05,broken clouds,0.0,0
189,Labuhan,ID,2020-07-10 00:10:00,-6.88,112.21,76.28,83,55,9.91,broken clouds,0.0,0
190,Geraldton,AU,2020-07-10 00:10:00,-28.77,114.6,51.8,66,26,17.22,scattered clouds,0.0,0
191,Meulaboh,ID,2020-07-10 00:10:00,4.14,96.13,75.74,80,99,4.88,overcast clouds,0.0,0
192,Chalons-En-Champagne,FR,2020-07-10 00:10:00,48.95,4.37,68.0,64,0,10.29,clear sky,0.0,0
193,Rio Gallegos,AR,2020-07-10 00:10:00,-51.62,-69.22,28.4,86,37,11.41,scattered clouds,0.0,0
194,Chake Chake,TZ,2020-07-10 00:10:01,-5.25,39.77,75.06,82,5,10.54,clear sky,0.0,0
195,Upernavik,GL,2020-07-10 00:10:01,72.79,-56.15,42.98,77,100,5.3,overcast clouds,0.0,0
196,Hanzhong,CN,2020-07-10 00:10:01,33.07,107.03,75.15,75,97,0.69,overcast clouds,0.0,0
197,Monster,NL,2020-07-10 00:10:01,52.03,4.17,64.0,96,100,5.01,moderate rain,1.02,0
198,Georgetown,MY,2020-07-10 00:10:01,5.41,100.34,80.6,94,20,6.06,few clouds,0.0,0
199,Ambalavao,MG,2020-07-10 00:10:01,-21.83,46.93,50.0,91,67,4.65,broken clouds,0.0,0
200,Ilulissat,GL,2020-07-10 00:10:01,69.22,-51.1,51.8,71,100,12.75,light intensity shower rain,0.0,0
201,Misratah,LY,2020-07-10 00:10:01,32.38,15.09,74.46,84,0,7.45,clear sky,0.0,0
202,Tasiilaq,GL,2020-07-10 00:10:02,65.61,-37.64,46.4,61,100,12.75,overcast clouds,0.0,0
203,Coihaique,CL,2020-07-10 00:06:23,-45.58,-72.07,33.8,86,40,3.36,scattered clouds,0.0,0
204,Carnarvon,AU,2020-07-10 00:10:02,-24.87,113.63,53.6,54,91,10.29,overcast clouds,0.0,0
205,La Ronge,CA,2020-07-10 00:10:02,55.1,-105.28,68.0,56,75,10.29,broken clouds,0.0,0
206,Castro,BR,2020-07-10 00:05:07,-24.79,-50.01,46.9,67,88,1.21,overcast clouds,0.0,0
207,Husavik,IS,2020-07-10 00:10:02,66.04,-17.34,46.4,81,75,6.93,broken clouds,0.0,0
208,Tuatapere,NZ,2020-07-10 00:10:03,-46.13,167.68,48.87,78,92,7.47,overcast clouds,0.0,0
209,Sebring,US,2020-07-10 00:10:03,27.5,-81.44,91.4,55,1,9.17,clear sky,0.0,0
210,Vostok,RU,2020-07-10 00:10:03,46.49,135.88,57.18,98,98,3.42,light rain,0.16,0
211,Maun,BW,2020-07-10 00:10:03,-19.98,23.42,53.6,71,0,2.24,clear sky,0.0,0
212,Warri,NG,2020-07-10 00:10:03,5.52,5.75,74.86,95,100,3.67,light rain,0.4,0
213,Sitka,US,2020-07-10 00:10:03,57.05,-135.33,55.4,87,90,3.36,moderate rain,1.02,0
214,Saldanha,ZA,2020-07-10 00:10:03,-33.01,17.94,51.8,93,100,6.93,moderate rain,1.48,0
215,Thompson,CA,2020-07-10 00:10:04,55.74,-97.86,60.8,93,90,9.17,light intensity shower rain,0.0,0
216,Keller,US,2020-07-10 00:10:04,32.93,-97.25,95.0,47,20,19.46,few clouds,0.0,0
217,Port-Gentil,GA,2020-07-10 00:10:04,-0.72,8.78,77.0,83,75,11.41,broken clouds,0.0,0
218,Cam Ranh,VN,2020-07-10 00:10:04,11.92,109.16,84.2,74,20,2.24,few clouds,0.0,0
219,Khatanga,RU,2020-07-10 00:10:04,71.97,102.5,54.93,58,11,18.21,few clouds,0.0,0
220,Grindavik,IS,2020-07-10 00:10:05,63.84,-22.43,50.0,66,75,9.17,broken clouds,0.0,0
221,Whitianga,NZ,2020-07-10 00:10:05,-36.83,175.7,57.0,77,0,4.52,clear sky,0.0,0
222,Havre-Saint-Pierre,CA,2020-07-10 00:10:05,50.23,-63.6,62.6,88,90,5.82,overcast clouds,0.0,0
